Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Sort order,Parent Product Category
Application,application,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04eb4,false,false,Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 13:11:06 GMT+0000 (Coordinated Universal Time),,cmc-lifts
Working Height,working-height,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04eb6,false,false,Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 13:11:06 GMT+0000 (Coordinated Universal Time),,cmc-lifts
Lift Carrier Compatible,lift-carrier-compatible,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04eb8,false,false,Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 13:11:06 GMT+0000 (Coordinated Universal Time),,cmc-lifts
Compatible with:,compatible-with,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04eba,false,false,Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 13:11:06 GMT+0000 (Coordinated Universal Time),,lift-carriers
Make,make,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04ebc,false,false,Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 13:11:06 GMT+0000 (Coordinated Universal Time),,lift-carriers
Brand,brand,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04ec0,false,false,Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 13:11:06 GMT+0000 (Coordinated Universal Time),,trailers
Trailer Type,trailer-type,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04ec2,false,false,Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 13:11:06 GMT+0000 (Coordinated Universal Time),,trailers
GVWR,gvwr,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04ec4,false,false,Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 13:11:06 GMT+0000 (Coordinated Universal Time),,trailers
Carlton Type,carlton-type,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04ec6,false,false,Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 12:03:52 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 13:11:06 GMT+0000 (Coordinated Universal Time),,carlton
Drive Type,drive-type,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04ec8,false,false,Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 13:11:06 GMT+0000 (Coordinated Universal Time),,carlton
Cutting System,cutting-system,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04eca,false,false,Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 13:11:06 GMT+0000 (Coordinated Universal Time),,carlton
Horsepower,horsepower,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04ecc,false,false,Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 13:11:06 GMT+0000 (Coordinated Universal Time),,carlton
Capacity,capacity,6a3a5b711c2ee5436c128a17,6a2972f1a0b589bcf6edb9da,6a3a5ceb6a271ecc1dc04ece,false,false,Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 10:16:11 GMT+0000 (Coordinated Universal Time),Tue Jun 23 2026 13:11:06 GMT+0000 (Coordinated Universal Time),,carlton
